5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
CORO1A__chr16	CORO1A__chr16
CORO1B__chr11	CORO1B__chr11
CORO1C__chr12	CORO1C__chr12
CORO2A__chr9	CORO2A__chr9
CORO2B__chr15	CORO2B__chr15
CORO6__chr17	CORO6__chr17
CORT__chr1	CORT__chr1
COTL1__chr16	COTL1__chr16
COX10-AS1__chr17	COX10-AS1__chr17
COX10__chr17	COX10__chr17
COX11__chr17	COX11__chr17
COX14__chr12	COX14__chr12
COX15__chr10	COX15__chr10
COX16__chr14	COX16__chr14
COX17__chr3	COX17__chr3
COX18__chr4	COX18__chr4
COX19__chr7	COX19__chr7
COX20__chr1	COX20__chr1
COX4I1__chr16	COX4I1__chr16
COX4I2__chr20	COX4I2__chr20
COX5A__chr15	COX5A__chr15
COX5B__chr2	COX5B__chr2
COX6A1__chr12	COX6A1__chr12
COX6A2__chr16	COX6A2__chr16
COX6B1__chr19	COX6B1__chr19
COX6B2__chr19	COX6B2__chr19
COX6C__chr8	COX6C__chr8
COX7A1__chr19	COX7A1__chr19
COX7A2L__chr2	COX7A2L__chr2
COX7A2__chr6	COX7A2__chr6
COX7B2__chr4	COX7B2__chr4
COX7B__chrX	COX7B__chrX
COX7C__chr5	COX7C__chr5
COX8A__chr11	COX8A__chr11
COX8C__chr14	COX8C__chr14
CPA1__chr7	CPA1__chr7
CPA2__chr7	CPA2__chr7
CPA3__chr3	CPA3__chr3
CPA4__chr7	CPA4__chr7
CPA5__chr7	CPA5__chr7
CPA6__chr8	CPA6__chr8
CPAMD8__chr19	CPAMD8__chr19
CPB1__chr3	CPB1__chr3
CPB2-AS1__chr13	CPB2-AS1__chr13
CPB2__chr13	CPB2__chr13
CPD__chr17	CPD__chr17
CPEB1-AS1__chr15	CPEB1-AS1__chr15
CPEB1__chr15	CPEB1__chr15
CPEB2-AS1__chr4	CPEB2-AS1__chr4
CPEB2__chr4	CPEB2__chr4
CPEB3__chr10	CPEB3__chr10
CPEB3_ribozyme__chr10	CPEB3_ribozyme__chr10
CPEB4__chr5	CPEB4__chr5
CPED1__chr7	CPED1__chr7
CPE__chr4	CPE__chr4
CPLX1__chr4	CPLX1__chr4
CPLX2__chr5	CPLX2__chr5
CPLX3__chr15	CPLX3__chr15
CPLX4__chr18	CPLX4__chr18
CPM__chr12	CPM__chr12
CPN1__chr10	CPN1__chr10
CPN2__chr3	CPN2__chr3
CPNE1__chr20	CPNE1__chr20
CPNE2__chr16	CPNE2__chr16
CPNE3__chr8	CPNE3__chr8
CPNE4__chr3	CPNE4__chr3
CPNE5__chr6	CPNE5__chr6
CPNE6__chr14	CPNE6__chr14
CPNE7__chr16	CPNE7__chr16
CPNE8__chr12	CPNE8__chr12
CPNE9__chr3	CPNE9__chr3
CPOX__chr3	CPOX__chr3
CPO__chr2	CPO__chr2
CPPED1__chr16	CPPED1__chr16
CPQ__chr8	CPQ__chr8
CPS1-IT1__chr2	CPS1-IT1__chr2
CPS1__chr2	CPS1__chr2
CPSF1__chr8	CPSF1__chr8
CPSF2__chr14	CPSF2__chr14
CPSF3L__chr1	CPSF3L__chr1
CPSF3__chr2	CPSF3__chr2
CPSF4L__chr17	CPSF4L__chr17
CPSF4__chr7	CPSF4__chr7
CPSF6__chr12	CPSF6__chr12
CPSF7__chr11	CPSF7__chr11
CPT1A__chr11	CPT1A__chr11
CPT1C__chr19	CPT1C__chr19
CPT2__chr1	CPT2__chr1
CPTP__chr1	CPTP__chr1
CPVL__chr7	CPVL__chr7
CPXCR1__chrX	CPXCR1__chrX
CPXM1__chr20	CPXM1__chr20
CPXM2__chr10	CPXM2__chr10
CPZ__chr4	CPZ__chr4
CP__chr3	CP__chr3
CR1L__chr1	CR1L__chr1
CR1__chr1	CR1__chr1
CR2__chr1	CR2__chr1
CR381670.1__chr21	CR381670.1__chr21
CR383657.1__chr14	CR383657.1__chr14
CR392000.1__chr9	CR392000.1__chr9
CR536603.1__chr22	CR536603.1__chr22
CRABP1__chr15	CRABP1__chr15
CRABP2__chr1	CRABP2__chr1
CRACR2A__chr12	CRACR2A__chr12
CRACR2B__chr11	CRACR2B__chr11
CRADD__chr12	CRADD__chr12
CRAMP1__chr16	CRAMP1__chr16
CRAT37__chr15	CRAT37__chr15
CRAT40__chr17	CRAT40__chr17
CRAT__chr9	CRAT__chr9
CRB1__chr1	CRB1__chr1
CRB2__chr9	CRB2__chr9
CRB3__chr19	CRB3__chr19
CRBN__chr3	CRBN__chr3
CRCP__chr7	CRCP__chr7
CRCT1__chr1	CRCT1__chr1
CREB1__chr2	CREB1__chr2
CREB3L1__chr11	CREB3L1__chr11
CREB3L2__chr7	CREB3L2__chr7
CREB3L3__chr19	CREB3L3__chr19
CREB3L4__chr1	CREB3L4__chr1
CREB3__chr9	CREB3__chr9
CREB5__chr7	CREB5__chr7
CREBBP__chr16	CREBBP__chr16
CREBL2__chr12	CREBL2__chr12
CREBRF__chr5	CREBRF__chr5
CREBZF__chr11	CREBZF__chr11
CREG1__chr1	CREG1__chr1
CREG2__chr2	CREG2__chr2
CRELD1__chr3	CRELD1__chr3
CRELD2__chr22	CRELD2__chr22
CREM__chr10	CREM__chr10
CRHBP__chr5	CRHBP__chr5
CRHR1-IT1__chr17	CRHR1-IT1__chr17
CRHR1__chr17	CRHR1__chr17
CRHR2__chr7	CRHR2__chr7
CRH__chr8	CRH__chr8
CRIM1__chr2	CRIM1__chr2
CRIP1__chr14	CRIP1__chr14
CRIP2__chr14	CRIP2__chr14
CRIP3__chr6	CRIP3__chr6
CRIPAK__chr4	CRIPAK__chr4
CRIPT__chr2	CRIPT__chr2
CRISP1__chr6	CRISP1__chr6
CRISP2__chr6	CRISP2__chr6
CRISP3__chr6	CRISP3__chr6
CRISPLD1__chr8	CRISPLD1__chr8
CRISPLD2__chr16	CRISPLD2__chr16
CRKL__chr22	CRKL__chr22
CRK__chr17	CRK__chr17
CRLF1__chr19	CRLF1__chr19
CRLF2__chrX	CRLF2__chrX
CRLF2__chrY	CRLF2__chrY
CRLF3__chr17	CRLF3__chr17
CRLS1__chr20	CRLS1__chr20
CRMP1__chr4	CRMP1__chr4
CRNDE__chr16	CRNDE__chr16
CRNKL1__chr20	CRNKL1__chr20
CRNN__chr1	CRNN__chr1
CROCC2__chr2	CROCC2__chr2
CROCC__chr1	CROCC__chr1
CROT__chr7	CROT__chr7
CRP__chr1	CRP__chr1
CRTAC1__chr10	CRTAC1__chr10
CRTAM__chr11	CRTAM__chr11
CRTAP__chr3	CRTAP__chr3
CRTC1__chr19	CRTC1__chr19
CRTC2__chr1	CRTC2__chr1
CRTC3-AS1__chr15	CRTC3-AS1__chr15
CRTC3__chr15	CRTC3__chr15
CRX__chr19	CRX__chr19
CRY1__chr12	CRY1__chr12
CRY2__chr11	CRY2__chr11
CRYAB__chr11	CRYAB__chr11
CRYBA1__chr17	CRYBA1__chr17
CRYBA2__chr2	CRYBA2__chr2
CRYBA4__chr22	CRYBA4__chr22
CRYBB1__chr22	CRYBB1__chr22
CRYBB2__chr22	CRYBB2__chr22
CRYBB3__chr22	CRYBB3__chr22
CRYBG3__chr3	CRYBG3__chr3
CRYGA__chr2	CRYGA__chr2
CRYGB__chr2	CRYGB__chr2
CRYGC__chr2	CRYGC__chr2
CRYGD__chr2	CRYGD__chr2
CRYGN__chr7	CRYGN__chr7
CRYGS__chr3	CRYGS__chr3
CRYL1__chr13	CRYL1__chr13
CRYM-AS1__chr16	CRYM-AS1__chr16
CRYM__chr16	CRYM__chr16
CRYZL1__chr21	CRYZL1__chr21
CRYZ__chr1	CRYZ__chr1
CSAD__chr12	CSAD__chr12
CSAG1__chrX	CSAG1__chrX
CSDC2__chr22	CSDC2__chr22
CSDE1__chr1	CSDE1__chr1
CSE1L-AS1__chr20	CSE1L-AS1__chr20
CSE1L__chr20	CSE1L__chr20
CSF1R__chr5	CSF1R__chr5
CSF1__chr1	CSF1__chr1
CSF2RA__chrX	CSF2RA__chrX
CSF2RA__chrY	CSF2RA__chrY
CSF2RB__chr22	CSF2RB__chr22
CSF2__chr5	CSF2__chr5
CSF3R__chr1	CSF3R__chr1
CSF3__chr17	CSF3__chr17
CSGALNACT1__chr8	CSGALNACT1__chr8
CSGALNACT2__chr10	CSGALNACT2__chr10
CSK__chr15	CSK__chr15
CSMD1__chr8	CSMD1__chr8
CSMD2-AS1__chr1	CSMD2-AS1__chr1
CSMD2__chr1	CSMD2__chr1
CSMD3__chr8	CSMD3__chr8
CSN1S1__chr4	CSN1S1__chr4
CSN2__chr4	CSN2__chr4
CSN3__chr4	CSN3__chr4
CSNK1A1L__chr13	CSNK1A1L__chr13
CSNK1A1__chr5	CSNK1A1__chr5
CSNK1D__chr17	CSNK1D__chr17
CSNK1E__chr22	CSNK1E__chr22
CSNK1G1__chr15	CSNK1G1__chr15
CSNK1G2-AS1__chr19	CSNK1G2-AS1__chr19
CSNK1G2__chr19	CSNK1G2__chr19
CSNK1G3__chr5	CSNK1G3__chr5
CSNK2A1__chr20	CSNK2A1__chr20
CSNK2A2__chr16	CSNK2A2__chr16
CSNK2A3__chr11	CSNK2A3__chr11
CSNK2B__chr6	CSNK2B__chr6
CSPG4__chr15	CSPG4__chr15
CSPG5__chr3	CSPG5__chr3
CSPP1__chr8	CSPP1__chr8
CSRNP1__chr3	CSRNP1__chr3
CSRNP2__chr12	CSRNP2__chr12
CSRNP3__chr2	CSRNP3__chr2
CSRP1__chr1	CSRP1__chr1
CSRP2BP__chr20	CSRP2BP__chr20
CSRP2__chr12	CSRP2__chr12
CSRP3__chr11	CSRP3__chr11
CST11__chr20	CST11__chr20
CST3__chr20	CST3__chr20
CST5__chr20	CST5__chr20
CST6__chr11	CST6__chr11
CST7__chr20	CST7__chr20
CST8__chr20	CST8__chr20
CST9L__chr20	CST9L__chr20
CST9__chr20	CST9__chr20
CSTA__chr3	CSTA__chr3
CSTB__chr21	CSTB__chr21
CSTF1__chr20	CSTF1__chr20
CSTF2T__chr10	CSTF2T__chr10
CSTF2__chrX	CSTF2__chrX
CSTF3-AS1__chr11	CSTF3-AS1__chr11
CSTF3__chr11	CSTF3__chr11
CSTL1__chr20	CSTL1__chr20
CS__chr12	CS__chr12
CT55__chrX	CT55__chrX
CT62__chr15	CT62__chr15
CT83__chrX	CT83__chrX
CT867976.1__chr22	CT867976.1__chr22
CT867977.1__chr22	CT867977.1__chr22
CTA-109P11.1__chr10	CTA-109P11.1__chr10
CTA-109P11.4__chr10	CTA-109P11.4__chr10
CTA-113A6.1__chr16	CTA-113A6.1__chr16
CTA-113A6.2__chr16	CTA-113A6.2__chr16
CTA-125H2.1__chr22	CTA-125H2.1__chr22
CTA-125H2.2__chr22	CTA-125H2.2__chr22
CTA-126B4.7__chr22	CTA-126B4.7__chr22
CTA-14H9.5__chr6	CTA-14H9.5__chr6
CTA-150C2.13__chr22	CTA-150C2.13__chr22
CTA-204B4.2__chr8	CTA-204B4.2__chr8
CTA-212A2.1__chr22	CTA-212A2.1__chr22
CTA-212A2.2__chr22	CTA-212A2.2__chr22
CTA-212A2.3__chr22	CTA-212A2.3__chr22
CTA-212A2.4__chr22	CTA-212A2.4__chr22
CTA-212D2.2__chr6	CTA-212D2.2__chr6
CTA-217C2.2__chr22	CTA-217C2.2__chr22
CTA-221G9.11__chr22	CTA-221G9.11__chr22
CTA-221G9.12__chr22	CTA-221G9.12__chr22
CTA-221G9.7__chr22	CTA-221G9.7__chr22
CTA-223H9.9__chr22	CTA-223H9.9__chr22
CTA-228A9.3__chr22	CTA-228A9.3__chr22
CTA-228A9.4__chr22	CTA-228A9.4__chr22
CTA-243E7.1__chr22	CTA-243E7.1__chr22
CTA-243E7.2__chr22	CTA-243E7.2__chr22
CTA-243E7.3__chr22	CTA-243E7.3__chr22
CTA-243E7.4__chr22	CTA-243E7.4__chr22
CTA-246H3.12__chr22	CTA-246H3.12__chr22
CTA-249B10.1__chr16	CTA-249B10.1__chr16
CTA-250D10.19__chr22	CTA-250D10.19__chr22
CTA-250D13.1__chr7	CTA-250D13.1__chr7
CTA-254O6.1__chr7	CTA-254O6.1__chr7
CTA-256D12.11__chr22	CTA-256D12.11__chr22
CTA-268H5.12__chr22	CTA-268H5.12__chr22
CTA-268H5.14__chr22	CTA-268H5.14__chr22
CTA-276F8.1__chr16	CTA-276F8.1__chr16
CTA-276F8.2__chr16	CTA-276F8.2__chr16
CTA-280A3.2__chr22	CTA-280A3.2__chr22
CTA-280A3__B.2__chr22	CTA-280A3__B.2__chr22
CTA-286B10.7__chr22	CTA-286B10.7__chr22
CTA-286B10.8__chr22	CTA-286B10.8__chr22
CTA-292E10.6__chr22	CTA-292E10.6__chr22
CTA-292E10.8__chr22	CTA-292E10.8__chr22
CTA-293F17.1__chr7	CTA-293F17.1__chr7
CTA-299D3.8__chr22	CTA-299D3.8__chr22
CTA-29F11.1__chr22	CTA-29F11.1__chr22
CTA-305I2.1__chr7	CTA-305I2.1__chr7
CTA-315H11.2__chr7	CTA-315H11.2__chr7
CTA-31J9.2__chr6	CTA-31J9.2__chr6
CTA-331P3.1__chr6	CTA-331P3.1__chr6
CTA-339C12.1__chr7	CTA-339C12.1__chr7
CTA-342B11.1__chr22	CTA-342B11.1__chr22
CTA-342B11.2__chr22	CTA-342B11.2__chr22
CTA-345G4.1__chr16	CTA-345G4.1__chr16
CTA-360L10.1__chr7	CTA-360L10.1__chr7
CTA-363E19.2__chr7	CTA-363E19.2__chr7
CTA-363E6.1__chr16	CTA-363E6.1__chr16
CTA-363E6.2__chr16	CTA-363E6.2__chr16
CTA-363E6.3__chr16	CTA-363E6.3__chr16
CTA-363E6.5__chr16	CTA-363E6.5__chr16
CTA-363E6.6__chr16	CTA-363E6.6__chr16
CTA-363E6.7__chr16	CTA-363E6.7__chr16
CTA-363E6.8__chr16	CTA-363E6.8__chr16
CTA-373H7.7__chr22	CTA-373H7.7__chr22
CTA-384D8.31__chr22	CTA-384D8.31__chr22
CTA-384D8.33__chr22	CTA-384D8.33__chr22
CTA-384D8.34__chr22	CTA-384D8.34__chr22
CTA-384D8.35__chr22	CTA-384D8.35__chr22
CTA-384D8.36__chr22	CTA-384D8.36__chr22
CTA-38K21.2__chrX	CTA-38K21.2__chrX
CTA-390C10.10__chr22	CTA-390C10.10__chr22
CTA-390C10.9__chr22	CTA-390C10.9__chr22
CTA-392C11.1__chr8	CTA-392C11.1__chr8
CTA-392C11.2__chr8	CTA-392C11.2__chr8
CTA-392E5.1__chr8	CTA-392E5.1__chr8
CTA-397C4.2__chr22	CTA-397C4.2__chr22
CTA-397H3.3__chr8	CTA-397H3.3__chr8
CTA-398F10.1__chr8	CTA-398F10.1__chr8
CTA-398F10.2__chr8	CTA-398F10.2__chr8
CTA-407F11.7__chr22	CTA-407F11.7__chr22
CTA-407F11.8__chr22	CTA-407F11.8__chr22
CTA-407F11.9__chr22	CTA-407F11.9__chr22
CTA-414D7.1__chr22	CTA-414D7.1__chr22
CTA-445C9.14__chr22	CTA-445C9.14__chr22
CTA-481E9.2__chr16	CTA-481E9.2__chr16
CTA-481E9.3__chr16	CTA-481E9.3__chr16
CTA-481E9.4__chr16	CTA-481E9.4__chr16
CTA-503F6.2__chr22	CTA-503F6.2__chr22
CTA-520D8.2__chr1	CTA-520D8.2__chr1
CTA-714B7.7__chr22	CTA-714B7.7__chr22
CTA-722E9.1__chr22	CTA-722E9.1__chr22
CTA-747E2.10__chr22	CTA-747E2.10__chr22
CTA-796E4.3__chr22	CTA-796E4.3__chr22
CTA-796E4.4__chr22	CTA-796E4.4__chr22
CTA-797E19.1__chr11	CTA-797E19.1__chr11
CTA-797E19.2__chr11	CTA-797E19.2__chr11
CTA-833B7.2__chr22	CTA-833B7.2__chr22
CTA-929C8.5__chr22	CTA-929C8.5__chr22
CTA-929C8.6__chr22	CTA-929C8.6__chr22
CTA-929C8.7__chr22	CTA-929C8.7__chr22
CTA-929C8.8__chr22	CTA-929C8.8__chr22
CTA-941F9.10__chr22	CTA-941F9.10__chr22
CTA-972D3.2__chr16	CTA-972D3.2__chr16
CTA-984G1.5__chr22	CTA-984G1.5__chr22
CTA-989H11.1__chr22	CTA-989H11.1__chr22
CTA-992D9.10__chr22	CTA-992D9.10__chr22
CTA-992D9.11__chr22	CTA-992D9.11__chr22
CTA-992D9.6__chr22	CTA-992D9.6__chr22
CTA-992D9.7__chr22	CTA-992D9.7__chr22
CTA-992D9.8__chr22	CTA-992D9.8__chr22
CTA-992D9.9__chr22	CTA-992D9.9__chr22
CTAGE1__chr18	CTAGE1__chr18
CTAGE5__chr14	CTAGE5__chr14
CTAGE9__chr6	CTAGE9__chr6
CTB-102L5.4__chr19	CTB-102L5.4__chr19
CTB-102L5.7__chr19	CTB-102L5.7__chr19
CTB-102L5.8__chr19	CTB-102L5.8__chr19
CTB-105L4.2__chr5	CTB-105L4.2__chr5
CTB-105N12.2__chr5	CTB-105N12.2__chr5
CTB-107G13.1__chr7	CTB-107G13.1__chr7
CTB-108O6.2__chr5	CTB-108O6.2__chr5
CTB-109A12.1__chr5	CTB-109A12.1__chr5
CTB-111F10.1__chr7	CTB-111F10.1__chr7
CTB-111H14.1__chr7	CTB-111H14.1__chr7
CTB-113D17.1__chr7	CTB-113D17.1__chr7
CTB-113I20.2__chr5	CTB-113I20.2__chr5
CTB-113P19.1__chr5	CTB-113P19.1__chr5
CTB-113P19.3__chr5	CTB-113P19.3__chr5
CTB-113P19.4__chr5	CTB-113P19.4__chr5
CTB-113P19.5__chr5	CTB-113P19.5__chr5
CTB-1144G6.6__chr10	CTB-1144G6.6__chr10
CTB-114C7.4__chr5	CTB-114C7.4__chr5
CTB-118N6.2__chr5	CTB-118N6.2__chr5
CTB-118P15.2__chr8	CTB-118P15.2__chr8
CTB-119C2.1__chr7	CTB-119C2.1__chr7
CTB-11I22.1__chr5	CTB-11I22.1__chr5
CTB-11I22.2__chr5	CTB-11I22.2__chr5
CTB-120L21.1__chr5	CTB-120L21.1__chr5
CTB-127C13.1__chr5	CTB-127C13.1__chr5
CTB-127M13.1__chr5	CTB-127M13.1__chr5
CTB-129O4.1__chr5	CTB-129O4.1__chr5
CTB-129P6.11__chr19	CTB-129P6.11__chr19
CTB-129P6.4__chr19	CTB-129P6.4__chr19
CTB-129P6.7__chr19	CTB-129P6.7__chr19
CTB-12A17.2__chr19	CTB-12A17.2__chr19
CTB-12A17.3__chr19	CTB-12A17.3__chr19
CTB-12O2.1__chr5	CTB-12O2.1__chr5
CTB-131B5.2__chr5	CTB-131B5.2__chr5
CTB-131B5.5__chr5	CTB-131B5.5__chr5
CTB-131K11.1__chr17	CTB-131K11.1__chr17
CTB-133G6.1__chr19	CTB-133G6.1__chr19
CTB-133G6.2__chr19	CTB-133G6.2__chr19
CTB-134F13.1__chr16	CTB-134F13.1__chr16
CTB-138E5.1__chr5	CTB-138E5.1__chr5
CTB-139P11.2__chr7	CTB-139P11.2__chr7
CTB-13F3.1__chr7	CTB-13F3.1__chr7
CTB-13L3.1__chr7	CTB-13L3.1__chr7
CTB-140J7.2__chr5	CTB-140J7.2__chr5
CTB-147C13.1__chr5	CTB-147C13.1__chr5
CTB-147C22.6__chr19	CTB-147C22.6__chr19
CTB-147C22.8__chr19	CTB-147C22.8__chr19
CTB-147C22.9__chr19	CTB-147C22.9__chr19
CTB-147N14.6__chr19	CTB-147N14.6__chr19
CTB-151G24.2__chr19	CTB-151G24.2__chr19
CTB-152G17.6__chr7	CTB-152G17.6__chr7
CTB-158D10.3__chr19	CTB-158D10.3__chr19
CTB-158E9.1__chr5	CTB-158E9.1__chr5
CTB-160O22.1__chr5	CTB-160O22.1__chr5
CTB-161C1.1__chr7	CTB-161C1.1__chr7
CTB-161M19.4__chr5	CTB-161M19.4__chr5
CTB-162J7.1__chr5	CTB-162J7.1__chr5
CTB-164N12.1__chr5	CTB-164N12.1__chr5
CTB-167B5.1__chr7	CTB-167B5.1__chr7
CTB-171A8.1__chr19	CTB-171A8.1__chr19
CTB-174D11.1__chr5	CTB-174D11.1__chr5
CTB-174D11.2__chr5	CTB-174D11.2__chr5
CTB-174D11.3__chr5	CTB-174D11.3__chr5
CTB-174O21.2__chr19	CTB-174O21.2__chr19
CTB-175E5.7__chr17	CTB-175E5.7__chr17
CTB-176F20.3__chr19	CTB-176F20.3__chr19
CTB-178M22.1__chr5	CTB-178M22.1__chr5
CTB-178M22.2__chr5	CTB-178M22.2__chr5
CTB-179K24.3__chr19	CTB-179K24.3__chr19
CTB-17P3.4__chr5	CTB-17P3.4__chr5
CTB-180A7.3__chr19	CTB-180A7.3__chr19
CTB-180A7.6__chr19	CTB-180A7.6__chr19
CTB-180A7.8__chr19	CTB-180A7.8__chr19
CTB-180C19.1__chr5	CTB-180C19.1__chr5
CTB-181F24.1__chr5	CTB-181F24.1__chr5
CTB-181H17.1__chr7	CTB-181H17.1__chr7
CTB-184G21.3__chr19	CTB-184G21.3__chr19
CTB-186G2.1__chr19	CTB-186G2.1__chr19
CTB-186G2.4__chr19	CTB-186G2.4__chr19
CTB-186H2.3__chr17	CTB-186H2.3__chr17
CTB-187M2.1__chr17	CTB-187M2.1__chr17
CTB-187M2.2__chr17	CTB-187M2.2__chr17
CTB-189B5.3__chr19	CTB-189B5.3__chr19
CTB-191D16.1__chr4	CTB-191D16.1__chr4
CTB-191K22.5__chr19	CTB-191K22.5__chr19
CTB-191K22.6__chr19	CTB-191K22.6__chr19
CTB-193M12.1__chr16	CTB-193M12.1__chr16
CTB-193M12.3__chr16	CTB-193M12.3__chr16
CTB-193M12.5__chr16	CTB-193M12.5__chr16
CTB-1H10.1__chr5	CTB-1H10.1__chr5
CTB-1I21.1__chr5	CTB-1I21.1__chr5
CTB-22K14.1__chr7	CTB-22K14.1__chr7
CTB-22K21.2__chr17	CTB-22K21.2__chr17
CTB-25B13.12__chr19	CTB-25B13.12__chr19
CTB-25B13.5__chr19	CTB-25B13.5__chr19
CTB-25B13.9__chr19	CTB-25B13.9__chr19
CTB-26E19.1__chr5	CTB-26E19.1__chr5
CTB-30L5.1__chr7	CTB-30L5.1__chr7
CTB-31N19.3__chr16	CTB-31N19.3__chr16
CTB-31N19.5__chr16	CTB-31N19.5__chr16
CTB-31O20.2__chr19	CTB-31O20.2__chr19
CTB-31O20.3__chr19	CTB-31O20.3__chr19
CTB-31O20.4__chr19	CTB-31O20.4__chr19
CTB-31O20.6__chr19	CTB-31O20.6__chr19
CTB-31O20.8__chr19	CTB-31O20.8__chr19
CTB-31O20.9__chr19	CTB-31O20.9__chr19
CTB-32H22.1__chr5	CTB-32H22.1__chr5
CTB-32O4.2__chr19	CTB-32O4.2__chr19
CTB-32O4.3__chr19	CTB-32O4.3__chr19
CTB-32O4.4__chr19	CTB-32O4.4__chr19
CTB-32P11.1__chr5	CTB-32P11.1__chr5
CTB-33G10.11__chr19	CTB-33G10.11__chr19
CTB-33G10.6__chr19	CTB-33G10.6__chr19
CTB-33O18.1__chr5	CTB-33O18.1__chr5
CTB-33O18.2__chr5	CTB-33O18.2__chr5
CTB-33O18.3__chr5	CTB-33O18.3__chr5
CTB-35F21.1__chr5	CTB-35F21.1__chr5
CTB-35F21.2__chr5	CTB-35F21.2__chr5
CTB-35F21.3__chr5	CTB-35F21.3__chr5
CTB-35F21.4__chr5	CTB-35F21.4__chr5
CTB-35F21.5__chr5	CTB-35F21.5__chr5
CTB-36H16.2__chr5	CTB-36H16.2__chr5
CTB-37A13.1__chr5	CTB-37A13.1__chr5
CTB-39G8.2__chr17	CTB-39G8.2__chr17
CTB-39G8.3__chr17	CTB-39G8.3__chr17
CTB-3M24.1__chr5	CTB-3M24.1__chr5
CTB-3M24.2__chr5	CTB-3M24.2__chr5
CTB-3M24.3__chr5	CTB-3M24.3__chr5
CTB-40H15.4__chr5	CTB-40H15.4__chr5
CTB-41I6.1__chr17	CTB-41I6.1__chr17
CTB-41I6.2__chr17	CTB-41I6.2__chr17
CTB-43E15.1__chr5	CTB-43E15.1__chr5
CTB-43E15.2__chr5	CTB-43E15.2__chr5
CTB-43I4.1__chr17	CTB-43I4.1__chr17
CTB-43P18.1__chr5	CTB-43P18.1__chr5
CTB-46B19.2__chr5	CTB-46B19.2__chr5
CTB-47B11.3__chr5	CTB-47B11.3__chr5
CTB-49A3.2__chr5	CTB-49A3.2__chr5
CTB-49A3.4__chr5	CTB-49A3.4__chr5
CTB-49A3.5__chr5	CTB-49A3.5__chr5
CTB-4E7.1__chr5	CTB-4E7.1__chr5
CTB-50E14.4__chr19	CTB-50E14.4__chr19
CTB-50L17.10__chr19	CTB-50L17.10__chr19
CTB-50L17.14__chr19	CTB-50L17.14__chr19
CTB-50L17.16__chr19	CTB-50L17.16__chr19
CTB-50L17.5__chr19	CTB-50L17.5__chr19
CTB-50L17.7__chr19	CTB-50L17.7__chr19
CTB-50L17.8__chr19	CTB-50L17.8__chr19
CTB-50L17.9__chr19	CTB-50L17.9__chr19
CTB-51A17.1__chr5	CTB-51A17.1__chr5
CTB-51J22.1__chr7	CTB-51J22.1__chr7
CTB-52I2.7__chr19	CTB-52I2.7__chr19
CTB-54I1.1__chr5	CTB-54I1.1__chr5
CTB-54O9.9__chr19	CTB-54O9.9__chr19
CTB-55O6.10__chr19	CTB-55O6.10__chr19
CTB-55O6.12__chr19	CTB-55O6.12__chr19
CTB-55O6.13__chr19	CTB-55O6.13__chr19
CTB-55O6.4__chr19	CTB-55O6.4__chr19
CTB-55O6.8__chr19	CTB-55O6.8__chr19
CTB-57H20.1__chr5	CTB-57H20.1__chr5
CTB-58E17.1__chr17	CTB-58E17.1__chr17
CTB-58E17.2__chr17	CTB-58E17.2__chr17
CTB-58E17.3__chr17	CTB-58E17.3__chr17
CTB-58E17.5__chr17	CTB-58E17.5__chr17
CTB-58E17.9__chr17	CTB-58E17.9__chr17
CTB-5E10.3__chr19	CTB-5E10.3__chr19
CTB-60B18.10__chr19	CTB-60B18.10__chr19
CTB-60B18.12__chr19	CTB-60B18.12__chr19
CTB-60B18.18__chr19	CTB-60B18.18__chr19
CTB-60E11.9__chr19	CTB-60E11.9__chr19
CTB-61M7.1__chr19	CTB-61M7.1__chr19
CTB-61M7.2__chr19	CTB-61M7.2__chr19
CTB-66B24.1__chr19	CTB-66B24.1__chr19
CTB-70G10.1__chr19	CTB-70G10.1__chr19
CTB-73N10.1__chr5	CTB-73N10.1__chr5
CTB-75G16.3__chr17	CTB-75G16.3__chr17
CTB-77H17.1__chr5	CTB-77H17.1__chr5
CTB-78F1.1__chr5	CTB-78F1.1__chr5
CTB-78F1.2__chr5	CTB-78F1.2__chr5
CTB-78H18.1__chr5	CTB-78H18.1__chr5
CTB-79E8.2__chr5	CTB-79E8.2__chr5
CTB-79E8.4__chr5	CTB-79E8.4__chr5
CTB-7E3.1__chr5	CTB-7E3.1__chr5
CTB-83J4.1__chr19	CTB-83J4.1__chr19
CTB-83J4.2__chr19	CTB-83J4.2__chr19
CTB-89H12.4__chr5	CTB-89H12.4__chr5
CTB-91J4.1__chr17	CTB-91J4.1__chr17
CTB-92J24.2__chr19	CTB-92J24.2__chr19
CTB-92J24.3__chr19	CTB-92J24.3__chr19
CTB-96E2.10__chr17	CTB-96E2.10__chr17
CTB-96E2.2__chr17	CTB-96E2.2__chr17
CTB-96E2.3__chr17	CTB-96E2.3__chr17
CTB-96E2.6__chr17	CTB-96E2.6__chr17
CTB-96E2.7__chr17	CTB-96E2.7__chr17
CTB-99A3.1__chr5	CTB-99A3.1__chr5
CTBP1-AS2__chr4	CTBP1-AS2__chr4
CTBP1-AS__chr4	CTBP1-AS__chr4
CTBP1__chr4	CTBP1__chr4
CTBP2__chr10	CTBP2__chr10
CTBS__chr1	CTBS__chr1
CTC-1337H24.3__chr11	CTC-1337H24.3__chr11
